GAME_ID,GAME_DATE,SEASON,SEASON_TYPE,HOME_TEAM,HOME_REST_DAYS,HOME_ROLL_PTS,HOME_ROLL_REB,HOME_ROLL_AST,HOME_ROLL_FG_PCT,HOME_ROLL_PLUS_MINUS,AWAY_TEAM,AWAY_REST_DAYS,AWAY_ROLL_PTS,AWAY_ROLL_REB,AWAY_ROLL_AST,AWAY_ROLL_FG_PCT,AWAY_ROLL_PLUS_MINUS,HOME_WIN,SPLIT
0021500150,2015-11-15,2015,regular_season,SAC,2.0,103.5,44.8,23.4,0.4443,-5.1,TOR,2.0,102.1,47.6,19.0,0.43220000000000003,6.0,1,train
0021500152,2015-11-16,2015,regular_season,PHI,2.0,91.1,42.2,19.7,0.4109,-13.7,DAL,2.0,101.7,46.3,21.7,0.43870000000000003,0.8800000000000001,0,train
0021500155,2015-11-16,2015,regular_season,MEM,1.0,95.1,40.8,21.1,0.42519999999999997,-5.5,OKC,1.0,110.5,49.1,22.7,0.46690000000000004,6.4,1,train
0021500159,2015-11-17,2015,regular_season,BKN,3.0,94.7,45.0,21.2,0.43570000000000003,-9.1,ATL,2.0,102.7,39.7,27.2,0.47120000000000006,3.0,1,train
0021500160,2015-11-17,2015,regular_season,DET,2.0,96.6,48.0,16.4,0.4203,-0.6,CLE,3.0,102.8,47.5,24.0,0.4561,7.2,1,train
0021500162,2015-11-17,2015,regular_season,NYK,2.0,96.2,45.5,19.3,0.4168,-2.5,CHA,2.0,101.4,42.4,21.5,0.4427,2.2,1,train
0021500163,2015-11-17,2015,regular_season,NOP,2.0,100.2,40.2,21.3,0.43499999999999994,-9.2,DEN,3.0,98.3,44.4,21.5,0.4327,-4.7,0,train
0021500164,2015-11-17,2015,regular_season,GSW,3.0,114.4,45.1,29.5,0.48240000000000005,16.3,TOR,2.0,101.6,46.2,18.9,0.4309,4.7,1,train
0021500165,2015-11-18,2015,regular_season,CHA,1.0,101.4,42.3,21.2,0.4473,2.4,BKN,1.0,93.7,44.9,21.5,0.4378,-7.4,1,train
0021500166,2015-11-18,2015,regular_season,ORL,4.0,102.3,45.4,22.1,0.43579999999999997,0.0,MIN,1.0,102.2,45.3,20.5,0.4508,-0.3,1,train
0021500167,2015-11-18,2015,regular_season,PHI,2.0,90.2,42.2,20.1,0.41459999999999997,-12.6,IND,2.0,96.1,43.0,20.2,0.43760000000000004,1.0,0,train
0021500168,2015-11-18,2015,regular_season,BOS,2.0,102.5,45.3,23.7,0.42829999999999996,6.6,DAL,2.0,99.8,45.4,20.9,0.4311,-0.11999999999999993,0,train
0021500169,2015-11-18,2015,regular_season,ATL,1.0,101.8,39.6,27.1,0.47119999999999995,2.5,SAC,3.0,103.8,44.1,23.3,0.45199999999999996,-3.8,1,train
0021500170,2015-11-18,2015,regular_season,HOU,2.0,102.4,43.5,21.7,0.4302,-6.5,POR,2.0,100.1,42.9,20.0,0.4579000000000001,-3.0,1,train
